date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:04:22	95977/95977	---M--	200	added ('OK')	application/javascript	etag:%225e81851-176e9-519886158a7c0%22	http://www.thesenortequila.com/wp-includes/js/jquery/jquery.js?ver=1.11.3	C:/My%20Web%20Sites/tequila/www.thesenortequila.com/wp-includes/js/jquery/jqueryc1d8.js	(from http://www.thesenortequila.com/)
13:04:22	43322/43322	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Feb%202018%2018:04:21%20GMT	http://www.thesenortequila.com/menu-appetizers/	C:/My%20Web%20Sites/tequila/www.thesenortequila.com/menu-appetizers/index.html	(from http://www.thesenortequila.com/)
13:04:51	208466/208466	---M--	200	added ('OK')	image/jpeg	etag:%225e81718-32e52-520808e308340%22	http://www.thesenortequila.com/wp-content/uploads/2015/09/slideshow-tacos-e1443111397699.jpg	C:/My%20Web%20Sites/tequila/www.thesenortequila.com/wp-content/uploads/2015/09/slideshow-tacos-e1443111397699.jpg	(from http://www.thesenortequila.com/)
13:04:51	221190/221190	---M--	200	added ('OK')	image/jpeg	etag:%225e816f8-36006-5208090469200%22	http://www.thesenortequila.com/wp-content/uploads/2015/09/slideshow-mahi-e1443111432502.jpg	C:/My%20Web%20Sites/tequila/www.thesenortequila.com/wp-content/uploads/2015/09/slideshow-mahi-e1443111432502.jpg	(from http://www.thesenortequila.com/)
13:04:52	39050/39050	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Feb%202018%2018:04:51%20GMT	http://www.thesenortequila.com/menu-soups-and-salads/	C:/My%20Web%20Sites/tequila/www.thesenortequila.com/menu-soups-and-salads/index.html	(from http://www.thesenortequila.com/)
13:04:53	50222/50222	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Feb%202018%2018:04:51%20GMT	http://www.thesenortequila.com/menu-house-specialties/	C:/My%20Web%20Sites/tequila/www.thesenortequila.com/menu-house-specialties/index.html	(from http://www.thesenortequila.com/)
13:04:53	267019/267019	---M--	200	added ('OK')	image/png	etag:%225e80e9d-4130b-52096854a406c%22	http://www.thesenortequila.com/img/ST-Web-Logo.png	C:/My%20Web%20Sites/tequila/www.thesenortequila.com/img/ST-Web-Logo.png	(from http://www.thesenortequila.com/)
13:04:54	52036/52036	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Feb%202018%2018:04:52%20GMT	http://www.thesenortequila.com/menu-special-dinners/	C:/My%20Web%20Sites/tequila/www.thesenortequila.com/menu-special-dinners/index.html	(from http://www.thesenortequila.com/)
13:05:06	272244/272244	---M--	200	added ('OK')	image/jpeg	etag:%225e81a09-42774-520a7898e397a%22	http://www.thesenortequila.com/wp-content/uploads/2015/09/slideshow-VIP.jpg	C:/My%20Web%20Sites/tequila/www.thesenortequila.com/wp-content/uploads/2015/09/slideshow-VIP.jpg	(from http://www.thesenortequila.com/)
13:05:07	33509/33509	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Feb%202018%2018:05:06%20GMT	http://www.thesenortequila.com/menu-taqueria/	C:/My%20Web%20Sites/tequila/www.thesenortequila.com/menu-taqueria/index.html	(from http://www.thesenortequila.com/)
13:05:26	201225/201225	---M--	200	added ('OK')	image/jpeg	etag:%225e816e8-31209-5208091d34c80%22	http://www.thesenortequila.com/wp-content/uploads/2015/09/slideshow-Quesadilla-e1443111458223.jpg	C:/My%20Web%20Sites/tequila/www.thesenortequila.com/wp-content/uploads/2015/09/slideshow-Quesadilla-e1443111458223.jpg	(from http://www.thesenortequila.com/)
13:05:26	206514/206514	---M--	200	added ('OK')	image/jpeg	etag:%225e81708-326b2-520808f8034c0%22	http://www.thesenortequila.com/wp-content/uploads/2015/09/slideshow-salad-e1443111419280.jpg	C:/My%20Web%20Sites/tequila/www.thesenortequila.com/wp-content/uploads/2015/09/slideshow-salad-e1443111419280.jpg	(from http://www.thesenortequila.com/)
13:05:27	41823/41823	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Feb%202018%2018:05:26%20GMT	http://www.thesenortequila.com/menu-seafood/	C:/My%20Web%20Sites/tequila/www.thesenortequila.com/menu-seafood/index.html	(from http://www.thesenortequila.com/)
13:05:28	33809/33809	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Feb%202018%2018:05:27%20GMT	http://www.thesenortequila.com/menu-vegetarian/	C:/My%20Web%20Sites/tequila/www.thesenortequila.com/menu-vegetarian/index.html	(from http://www.thesenortequila.com/)
13:05:29	3063/3063	---M--	200	added ('OK')	image/png	etag:%225e815e4-bf7-520316dd95800%22	http://www.thesenortequila.com/wp-content/uploads/2015/09/btn-view-menu-gold.png	C:/My%20Web%20Sites/tequila/www.thesenortequila.com/wp-content/uploads/2015/09/btn-view-menu-gold.png	(from http://www.thesenortequila.com/)
13:05:30	35856/35856	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Feb%202018%2018:05:28%20GMT	http://www.thesenortequila.com/menu-desserts/	C:/My%20Web%20Sites/tequila/www.thesenortequila.com/menu-desserts/index.html	(from http://www.thesenortequila.com/)
13:05:31	3105/3105	---M--	200	added ('OK')	image/png	etag:%225e815e8-c21-520316dd95800%22	http://www.thesenortequila.com/wp-content/uploads/2015/09/btn-view-menu-orange.png	C:/My%20Web%20Sites/tequila/www.thesenortequila.com/wp-content/uploads/2015/09/btn-view-menu-orange.png	(from http://www.thesenortequila.com/)
13:05:31	36199/36199	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Feb%202018%2018:05:30%20GMT	http://www.thesenortequila.com/lunch-specials/	C:/My%20Web%20Sites/tequila/www.thesenortequila.com/lunch-specials/index.html	(from http://www.thesenortequila.com/)
13:05:32	3064/3064	---M--	200	added ('OK')	image/png	etag:%225e815e6-bf8-520316dd95800%22	http://www.thesenortequila.com/wp-content/uploads/2015/09/btn-view-menu-green.png	C:/My%20Web%20Sites/tequila/www.thesenortequila.com/wp-content/uploads/2015/09/btn-view-menu-green.png	(from http://www.thesenortequila.com/)
13:05:33	39839/39839	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Feb%202018%2018:05:31%20GMT	http://www.thesenortequila.com/happy-hour-bar-specials/	C:/My%20Web%20Sites/tequila/www.thesenortequila.com/happy-hour-bar-specials/index.html	(from http://www.thesenortequila.com/)
13:05:33	1635/1635	---M--	200	added ('OK')	image/png	etag:%225e81507-663-51feaa3f36940%22	http://www.thesenortequila.com/wp-content/uploads/2015/09/ST-Web-White-Bkg.png	C:/My%20Web%20Sites/tequila/www.thesenortequila.com/wp-content/uploads/2015/09/ST-Web-White-Bkg.png	(from http://www.thesenortequila.com/)
13:05:34	39136/39136	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Feb%202018%2018:05:33%20GMT	http://www.thesenortequila.com/photo-gallery/	C:/My%20Web%20Sites/tequila/www.thesenortequila.com/photo-gallery/index.html	(from http://www.thesenortequila.com/)
13:05:40	35851/35851	---M--	200	added ('OK')	image/png	etag:%225e814f6-8c0b-51feb01787380%22	http://www.thesenortequila.com/wp-content/uploads/2015/09/ST-SD-3Olives-e1442469086554.png	C:/My%20Web%20Sites/tequila/www.thesenortequila.com/wp-content/uploads/2015/09/ST-SD-3Olives-e1442469086554.png	(from http://www.thesenortequila.com/)
13:05:40	290079/290079	---M--	200	added ('OK')	image/jpeg	etag:%225e819f8-46d1f-520a78931b600%22	http://www.thesenortequila.com/wp-content/uploads/2015/09/slideshow-appetizers.jpg	C:/My%20Web%20Sites/tequila/www.thesenortequila.com/wp-content/uploads/2015/09/slideshow-appetizers.jpg	(from http://www.thesenortequila.com/)
13:05:41	42669/42669	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Feb%202018%2018:05:40%20GMT	http://www.thesenortequila.com/locations-contact-us/	C:/My%20Web%20Sites/tequila/www.thesenortequila.com/locations-contact-us/index.html	(from http://www.thesenortequila.com/)
13:05:42	95016/95016	---M--	200	added ('OK')	image/jpeg	etag:%225e815f3-17328-52033adb08140%22	http://www.thesenortequila.com/wp-content/uploads/2015/09/full-block-bkg-02.jpg	C:/My%20Web%20Sites/tequila/www.thesenortequila.com/wp-content/uploads/2015/09/full-block-bkg-02.jpg	(from http://www.thesenortequila.com/)
13:05:43	3262/3262	---M--	200	added ('OK')	image/png	etag:%225e815e2-cbe-520316dca15c0%22	http://www.thesenortequila.com/wp-content/uploads/2015/09/btn-view-drinks-gold.png	C:/My%20Web%20Sites/tequila/www.thesenortequila.com/wp-content/uploads/2015/09/btn-view-drinks-gold.png	(from http://www.thesenortequila.com/)
13:05:44	34429/34429	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Feb%202018%2018:05:42%20GMT	http://www.thesenortequila.com/premier-specialty-drinks/	C:/My%20Web%20Sites/tequila/www.thesenortequila.com/premier-specialty-drinks/index.html	(from http://www.thesenortequila.com/)
13:05:46	13687/13687	---M--	200	added ('OK')	image/png	etag:%225e815db-3577-5203010cde000%22	http://www.thesenortequila.com/wp-content/uploads/2015/09/block-rt-green.png	C:/My%20Web%20Sites/tequila/www.thesenortequila.com/wp-content/uploads/2015/09/block-rt-green.png	(from http://www.thesenortequila.com/)
